phn	cls	pi
JH-sta-IH	XXX	503
JH-sta-UW	XXX	504
JH-sta-UH	XXX	505
JH-sta-EH	XXX	506
JH-sta-ER	XXX	507
JH-sta-AO	XXX	508
JH-sta-AE	XXX	509
JH-sta-AH	XXX	510
JH-sta-AA	XXX	511
JH-sta-EY	XXX	512
JH-sta-OW	XXX	513
JH-sta-OY	XXX	514
JH-sta-AY	XXX	515
JH-sta-AW	XXX	516
F-sta-sta	XXX	517
F-sta-stp	XXX	518
F-sta-sil	XXX	519
F-sta-spn	XXX	520
F-sta-P	XXX	521
F-sta-T	XXX	522
F-sta-K	XXX	523
F-sta-B	XXX	524
F-sta-D	XXX	525
F-sta-G	XXX	526
F-sta-CH	XXX	527
F-sta-JH	XXX	528
F-sta-F	XXX	529
F-sta-S	XXX	530
F-sta-TH	XXX	531
F-sta-SH	XXX	532
F-sta-HH	XXX	533
F-sta-V	XXX	534
F-sta-Z	XXX	535
F-sta-DH	XXX	536
F-sta-ZH	XXX	537
F-sta-M	XXX	538
F-sta-N	XXX	539
F-sta-NG	XXX	540
F-sta-L	XXX	541
F-sta-R	XXX	542
F-sta-Y	XXX	543
F-sta-W	XXX	544
F-sta-IY	XXX	545
F-sta-IH	XXX	546
F-sta-UW	XXX	547
F-sta-UH	XXX	548
F-sta-EH	XXX	549
F-sta-ER	XXX	550
F-sta-AO	XXX	551
F-sta-AE	XXX	552
F-sta-AH	XXX	553
F-sta-AA	XXX	554
F-sta-EY	XXX	555
F-sta-OW	XXX	556
F-sta-OY	XXX	557
F-sta-AY	XXX	558
F-sta-AW	XXX	559
S-sta-sta	XXX	560
S-sta-stp	XXX	561
S-sta-sil	XXX	562
S-sta-spn	XXX	563
S-sta-P	XXX	564
S-sta-T	XXX	565
S-sta-K	XXX	566
S-sta-B	XXX	567
S-sta-D	XXX	568
S-sta-G	XXX	569
S-sta-CH	XXX	570
S-sta-JH	XXX	571
S-sta-F	XXX	572
S-sta-S	XXX	573
S-sta-TH	XXX	574
S-sta-SH	XXX	575
S-sta-HH	XXX	576
S-sta-V	XXX	577
S-sta-Z	XXX	578
S-sta-DH	XXX	579
S-sta-ZH	XXX	580
S-sta-M	XXX	581
S-sta-N	XXX	582
S-sta-NG	XXX	583
S-sta-L	XXX	584
S-sta-R	XXX	585
S-sta-Y	XXX	586
S-sta-W	XXX	587
S-sta-IY	XXX	588
S-sta-IH	XXX	589
S-sta-UW	XXX	590
S-sta-UH	XXX	591
S-sta-EH	XXX	592
S-sta-ER	XXX	593
S-sta-AO	XXX	594
S-sta-AE	XXX	595
S-sta-AH	XXX	596
S-sta-AA	XXX	597
S-sta-EY	XXX	598
S-sta-OW	XXX	599
S-sta-OY	XXX	600
